Number,Caller,IT System,Short description,Assignment group,Assigned to,State,Affected CI,Priority,Incident state,Updated,Opened,Severity,Business duration,Duration
INC13701453,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Time) : Job IndexOptimize - USER_DATABASES has been executing for 31 minutes 2",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-14 05:56:59,2025-01-14 04:32:23,3 - Low,0,5076
INC13701390,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS004N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 34 ",Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-14 05:57:00,2025-01-14 03:50:57,3 - Low,0,7563
INC13701387,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc2ws032n02  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc2ws032n02,3 - Moderate,Closed,2025-01-14 05:57:01,2025-01-14 03:49:20,3 - Low,0,7661
INC13701386,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws032n01  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 33 minute,Database Administrators,,Closed,njc1ws032n01,3 - Moderate,Closed,2025-01-14 05:57:08,2025-01-14 03:49:18,3 - Low,0,7670
INC13701385,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws040n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 ",Database Administrators,,Closed,njc2ws040n02,3 - Moderate,Closed,2025-01-14 05:57:04,2025-01-14 03:49:10,3 - Low,0,7674
INC13701382,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws004n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 31 ",Database Administrators,,Closed,njc2ws004n02,3 - Moderate,Closed,2025-01-14 05:57:06,2025-01-14 03:47:39,3 - Low,0,7767
INC13701380,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 31 ",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-14 05:57:00,2025-01-14 03:47:17,3 - Low,0,7783
INC13701198,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,Closed,njc1ws014n01,3 - Moderate,Closed,2025-01-14 05:57:00,2025-01-14 01:51:54,3 - Low,0,14706
INC13701156,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX4929]. [MySQL Replication Seconds Behind Master] started violating and is now [critic,Database Administrators,,Closed,njc2lx4929,3 - Moderate,Closed,2025-01-14 05:57:07,2025-01-14 01:36:27,3 - Low,0,15640
INC13701152,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time bet",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-14 05:57:02,2025-01-14 01:35:20,3 - Low,0,15702
INC13701109,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] upgraded in severity and is now [cri,Database Administrators,,Closed,njc2lx1974,3 - Moderate,Closed,2025-01-14 05:57:06,2025-01-14 01:20:24,3 - Low,0,16602
INC13701107,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 31 minutes 1 s",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-14 05:57:08,2025-01-14 01:19:19,3 - Low,0,16669
INC13701105,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] started violating and is now [warnin,Database Administrators,,Closed,njc2lx1974,5 - Planning,Closed,2025-01-14 05:57:10,2025-01-14 01:18:23,3 - Low,0,16727
INC13701099,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 1 hour 13 minut",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-14 05:57:11,2025-01-14 01:15:19,3 - Low,0,16912
INC13700809,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS004N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 3 minutes 29 se",Database Administrators,,Closed,ldn1ws004n01,3 - Moderate,Closed,2025-01-14 00:52:53,2025-01-13 22:49:43,3 - Low,7390,7390
INC13700808,Spotlight Service ,DB Farm - EM Prod,"Spotlight notification for LDN1WS040N01,51433  Monitored Server - SQL Server Secondary Connection Failure: Connection 'SQLServerXEventsChannel' failed to co",Database Administrators,,Closed,ldn1ws040n01,3 - Moderate,Closed,2025-01-14 00:52:47,2025-01-13 22:47:47,3 - Low,7500,7500
INC13700760,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Publication Failure: Publication [INSTRUMENT_INST]: IRS Instruments has failed ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 00:52:56,2025-01-13 22:08:23,3 - Low,9873,9873
INC13700754,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Publisher Failure: Publisher EUW1WS009N01 has failed ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 00:52:46,2025-01-13 22:04:00,3 - Low,10126,10126
INC13674755,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS045N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Refresh IR Materialised Template Views has been executing for 8 minutes 37 s",Database Administrators,,Closed,ldn1ws045n01,3 - Moderate,Closed,2025-01-14 00:52:51,2025-01-13 17:39:58,3 - Low,25973,25973
INC13645638,Spotlight Service ,DB Farm - AP Prod,"DBA Spotlight HKGPOTLSQL02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 3 minutes 54 se",Database Administrators,,Closed,hkgpotlsql02,3 - Moderate,Closed,2025-01-14 00:52:44,2025-01-13 15:05:08,3 - Low,28364,35256
INC13645170,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for njc1ws012n01  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time between Mo,Database Administrators,,Closed,njc1ws012n01,3 - Moderate,Closed,2025-01-14 00:52:53,2025-01-13 15:02:47,3 - Low,28373,35406
INC13638740,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job AlwaysOn_ReportService_Start has been executing for 24 seconds (2400% of the",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-14 00:52:50,2025-01-13 14:19:39,3 - Low,28370,37991
INC13615582,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN2WS012N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 15 minutes 2 se",Database Administrators,,Closed,ldn2ws012n02,3 - Moderate,Closed,2025-01-14 00:52:55,2025-01-13 12:24:18,3 - Low,28375,44917
INC13614826,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time bet",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-14 00:52:54,2025-01-13 12:20:52,3 - Low,28374,45122
INC13600189,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Output_File has been executing for 9 minutes 58 seconds (2",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-14 00:52:44,2025-01-13 11:17:16,3 - Low,28364,48928
INC13599416,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 7 ho",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-14 00:52:43,2025-01-13 11:13:29,3 - Low,28363,49154
INC13599311,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Sync_AG has been executing for 5 days 5 hours (288905% of the a",Database Administrators,,Closed,njc1ws024n01,3 - Moderate,Closed,2025-01-14 00:52:47,2025-01-13 11:12:49,3 - Low,28367,49198
INC13599294,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Time) : Job Sync_AG has been executing for 5 days 5 hours ",Database Administrators,,Closed,njc1ws024n01,3 - Moderate,Closed,2025-01-14 00:52:51,2025-01-13 11:12:47,3 - Low,28371,49204
INC13598674,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for NJC1WS004N01  Disks - Percentage Used: Disk E: is 87.65% full. ,Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-14 00:52:56,2025-01-13 11:11:00,3 - Low,28376,49316
INC13598557,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for njc2ws004n02  Disks - Percentage Used: Disk E: is 86.67% full. ,Database Administrators,,Closed,njc2ws004n02,3 - Moderate,Closed,2025-01-14 00:52:53,2025-01-13 11:10:03,3 - Low,28373,49370
INC13584747,Spotlight Service ,DB Farm - EM Prod,"Spotlight notification for LDN2WS042N02,51433  Monitored Server - SQL Server Secondary Connection Failure: Connection 'SQLServerXEventsChannel' failed to co",Database Administrators,,Closed,ldn2ws042n02,3 - Moderate,Closed,2025-01-14 00:52:49,2025-01-13 10:09:38,3 - Low,28369,52991
INC13584746,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-14 00:52:45,2025-01-13 10:09:27,3 - Low,28365,52998
INC13584745,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-14 00:52:43,2025-01-13 10:09:23,3 - Low,28363,53000
INC13584244,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Run has been executing for 10 minutes 31 seconds (2035% of",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-14 00:52:49,2025-01-13 10:07:36,3 - Low,28369,53113
INC13583389,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-14 00:52:47,2025-01-13 10:01:29,3 - Low,28367,53478
INC13583388,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-14 00:52:55,2025-01-13 10:01:25,3 - Low,28375,53490
INC13572307,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_Prod_NJC1LX2726]. [MySQL Replication Seconds Behind Master] started violating and is now [warn,Database Administrators,,Closed,njc1lx2726,5 - Planning,Closed,2025-01-14 00:52:58,2025-01-13 08:59:23,3 - Low,28378,57215
INC13565432,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,Closed,njc1ws014n01,3 - Moderate,Closed,2025-01-14 00:52:52,2025-01-13 08:37:05,3 - Low,28372,58547
INC13557442,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS015N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 3 minutes 17 se",Database Administrators,,Closed,ldn1ws015n01,3 - Moderate,Closed,2025-01-14 00:52:53,2025-01-13 08:06:29,3 - Low,28373,60384
INC13551852,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN2WS014N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 2 minutes 29 se",Database Administrators,,Closed,ldn2ws014n02,3 - Moderate,Closed,2025-01-14 00:52:57,2025-01-13 07:33:47,3 - Low,28377,62350
INC13541155,Spotlight Service ,,"DBA Spotlight LDNPPVMTPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 00:52:55,2025-01-13 06:09:43,3 - Low,28375,67392
INC13541148,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 00:52:56,2025-01-13 06:09:40,3 - Low,28376,67396
INC13540955,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS2,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 00:52:48,2025-01-13 06:07:58,3 - Low,28368,67490
INC13540595,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 34 minutes 59 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-14 00:52:54,2025-01-13 06:04:15,3 - Low,28374,67719
INC13537891,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws005n01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 1",Database Administrators,,Closed,njc1ws005n01,3 - Moderate,Closed,2025-01-14 00:52:58,2025-01-13 05:44:09,3 - Low,28378,68929
INC13533679,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS3463N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 33 ",Database Administrators,,Closed,njc1ws3463n01,3 - Moderate,Closed,2025-01-13 05:37:49,2025-01-13 04:34:29,3 - Low,0,3800
INC13533678,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-13 05:37:44,2025-01-13 04:34:16,3 - Low,0,3808
INC13531614,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS004N01,51433  SQL Agent - Long Running Jobs (Time) : Job IndexOptimize - USER_DATABASES has been executing for 34 minutes 4",Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-13 05:38:03,2025-01-13 04:00:57,3 - Low,0,5826
INC13530967,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS004N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 34 ",Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-13 05:37:50,2025-01-13 03:50:56,3 - Low,0,6414
INC13530927,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws032n01  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc1ws032n01,3 - Moderate,Closed,2025-01-13 05:38:16,2025-01-13 03:49:13,3 - Low,0,6543
INC13530498,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS3463N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 7",Database Administrators,,Closed,njc2ws3463n02,3 - Moderate,Closed,2025-01-13 05:37:34,2025-01-13 03:38:59,3 - Low,0,7115
INC13529459,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-13 05:37:51,2025-01-13 03:20:29,3 - Low,0,8242
INC13529458,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-13 05:38:19,2025-01-13 03:20:25,3 - Low,0,8274
INC13528965,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 3",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-13 05:38:17,2025-01-13 02:35:05,3 - Low,0,10992
INC13523535,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time bet",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-13 05:37:46,2025-01-13 01:35:17,3 - Low,0,14549
INC13506093,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS046N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 32 minutes 46 s",Database Administrators,,Closed,ldn1ws046n01,3 - Moderate,Closed,2025-01-13 05:37:48,2025-01-12 23:34:02,3 - Low,5158,21826
INC13503834,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS088N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 17 minutes 31 s",Database Administrators,,Closed,ldn1ws088n01,3 - Moderate,Closed,2025-01-13 05:37:46,2025-01-12 23:18:48,3 - Low,6072,22738
INC13502916,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS085N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 8 minutes 27 se",Database Administrators,,Closed,ldn1ws085n01,3 - Moderate,Closed,2025-01-13 05:37:57,2025-01-12 23:09:43,3 - Low,6617,23294
INC13466061,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,Closed,njc1ws014n01,3 - Moderate,Closed,2025-01-13 05:38:01,2025-01-12 18:36:56,3 - Low,22984,39665
INC13438187,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Stop' failed 5 times between Sund",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-13 05:37:41,2025-01-12 17:20:15,3 - Low,27585,44246
INC13438108,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Start' failed 5 times between Sun",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-13 05:38:21,2025-01-12 17:20:04,3 - Low,27596,44297
INC13437477,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for njc1ws043n01,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Stop' failed 3 times and succeeded 2 t",Database Administrators,,Closed,njc1ws043n01,3 - Moderate,Closed,2025-01-13 05:37:55,2025-01-12 17:17:55,3 - Low,27725,44400
INC13267944,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS042N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 6 minutes 59 se",Database Administrators,,Closed,ldn1ws042n01,3 - Moderate,Closed,2025-01-13 05:38:02,2025-01-12 08:08:16,3 - Low,28800,77386
INC13265057,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 32 minutes 53 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-13 05:37:29,2025-01-12 06:39:15,3 - Low,28800,82694
INC13265033,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Percent) : Job IndexOptimize - USER_DATABASES has been executing for 1 hour 25",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-13 05:38:12,2025-01-12 05:27:04,3 - Low,28800,87068
INC13264982,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws005n01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc1ws005n01,3 - Moderate,Closed,2025-01-13 05:37:34,2025-01-12 04:34:12,3 - Low,28800,90202
INC13264980,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-13 05:37:29,2025-01-12 04:33:30,3 - Low,28800,90239
