Netbios Name,Patched,Engineer,Asset Name,IP Addresses,Operating System Category,OS,Operating System Version,Operating System Lifecycle Stage,Time Zone,Last System Boot,Last Logged-In User
US01WSPQSQL01P,Phase 4,TBA,US01WSPQSQL01P,"10.10.32.70,10.10.32.69",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-10-29T12:46:17Z,GLOBAL.ICAP.COM\spanguru-a
SYD2WS6015,#N/A,#N/A,SYD2WS6015.corp.ad.tullib.com,10.241.47.23,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-11-06T13:25:39Z,CORP\msiy-a
NJCPEGTGWY02,#N/A,#N/A,NJCPEGTGWY02.na.ad.tullib.com,10.144.32.70,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-12-27T23:02:13Z,tempadmin
NJCPINFSNO01,Phase 3,John,NJCPINFSNO01,10.138.32.82,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-10-29T17:03:37Z,NA.AD.TULLIB.COM\uyadav
NJCPSMOCSS08,Phase 4,TBA,NJCPSMOCSS08,10.137.48.45,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:25Z,NJCPSMOCSS08\AMERLESA
NJ1CVWEBAPP01,Phase 4,TBA,NJ1CVWEBAPP01.lnholdings.com,10.78.102.51,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T15:02:54Z,LNHOLDINGS.COM\pgtses
EC2AMAZ-27S13GG,#N/A,#N/A,EC2AMAZ-27S13GG,10.16.75.235,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5291 64-Bit,1607,EOL,UTC,2022-09-14T19:44:51Z,Administrator
NJ1CVSPAPP02,Phase 4,TBA,nj1cvspapp02.lnholdings.com,"10.78.100.90,fe80:0:0:0:1864:a6b6:a977:bd2d",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-11-05T05:37:52Z,LNHOLDINGS\mossroot
NJ1CVEEAM02,Phase 4,TBA,nj1cveeam02.lnholdings.com,"10.78.254.126,fe80:0:0:0:59fa:1e0d:7993:e891",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T00:24:59Z,mderho
NY0CMGMT01,#N/A,#N/A,NY0CMGMT01.lnholdings.com,"fe80:0:0:0:7c36:df4:80ab:e110,10.1.10.25",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-08-13T16:21:24Z,LNHOLDINGS.COM\wchan_adm
NJCPSMOWEB02,Phase 4,TBA,NJCPSMOWEB02.na.ad.tullib.com,10.144.32.42,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:04Z,NAEBSysAdmin
NJ1CVWEBAPP02,Phase 4,TBA,NJ1CVWEBAPP02.lnholdings.com,10.78.102.52,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T15:02:57Z,LNHOLDINGS\pgtses
EC2AMAZ-VFTILGS,#N/A,#N/A,EC2AMAZ-VFTILGS,10.16.75.232,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5291 64-Bit,1607,EOL,UTC,2022-08-23T21:10:36Z,Administrator
NJ1PUCITXVDA02,Phase 4,TBA,nj1pucitxvda02.LNHOLDINGS.com,"172.18.121.77,fe80:0:0:0:7038:cd70:f526:85b9",Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,'-08:00,2022-08-13T16:20:00Z,Administrator
UK1PVSTAUASSQL2,Phase 4,TBA,uk1pvstauassql2,"fe80:0:0:0:d46d:4980:7ad9:2016,172.23.121.62",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,UTC,2023-01-21T07:41:07Z,otassupport
NJC1WS1442,#N/A,#N/A,NJC1WS1442,10.161.72.64,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2023-01-10T09:29:37Z,Administrator
VA1CUECH06,Phase 4,TBA,VA1CUECH06.lnholdings.com,"10.79.102.162,fe80:0:0:0:9f3:d6da:64d5:2e94,fe80:0:0:0:fd2a:7e62:49d4:17e8,10.79.201.162,fe80:0:0:0:c905:c833:4d98:e253,169.254.4.216",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2023-01-24T18:08:03Z,LNHOLDINGS\exchadmin
EC2AMAZ-ORMKPOT,#N/A,#N/A,EC2AMAZ-ORMKPOT,10.16.81.254,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 64-Bit,1809,GA,UTC,2022-07-20T13:33:30Z,Unknown
NJ1PVALDNEQ01,Phase 4,TBA,nj1pvaldneq01.lnholdings.com,"172.18.104.89,fe80:0:0:0:859c:b09:d71b:a46f",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-29T04:08:24Z,corp.ad.tullib.com\lsingh
NJCPUFICSS02,Phase 4,TBA,NJCPUFICSS02.na.cipn.com,10.144.32.26,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:06Z,NAEBSysAdmin
UK1CMGMT02,#N/A,#N/A,UK1CMGMT02.lnholdings.com,"192.168.190.1,fe80:0:0:0:6499:81ac:8742:4c6e,10.23.254.201,fe80:0:0:0:b46b:740:2754:b36,192.168.16.1,fe80:0:0:0:9c93:8c77:3e1:e6fd",Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,UTC,2022-11-05T00:40:45Z,LNHOLDINGS\athomas_adm
NJCPSMOWEB01,Phase 3,Radny,NJCPSMOWEB01.na.ad.tullib.com,10.144.32.41,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-30T08:13:53Z,NAEBSysadmin
SYDPBAUD05,Phase 4,TBA,SYDPBAUD05,"10.242.32.81,fe80:0:0:0:f16e:c20b:d236:732d",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+11:00,2022-08-05T20:13:18Z,APAC.AD.TULLIB.COM\APAC PMS
NJC1WS3153,#N/A,#N/A,NJC1WS3153,10.161.72.62,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2023-01-10T09:29:48Z,Administrator
NJCPCVLCOM01,Phase 3,Brandon,NJCPCVLCOM01.na.ad.tullib.com,10.138.32.26,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2023-01-20T17:55:58Z,NA.AD.TULLIB.COM\!cvladmin
HK1CUCITXVDA01,Phase 4,TBA,hk1cucitxvda01.LNHOLDINGS.com,10.70.100.106,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3165 64-Bit,1809,GA,'+08:00,2023-01-21T08:02:09Z,Administrator
NJCPTBPBLD01,Phase 3,John,NJCPTBPBLD01.na.ad.tullib.com,10.138.48.48,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-29T17:10:58Z,NJCPTBPBLD01\NAEBsysadmin
EC2AMAZ-S1NU46E,#N/A,#N/A,EC2AMAZ-S1NU46E,10.16.75.231,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5501 64-Bit,1607,EOL,UTC,2023-01-04T11:03:03Z,Administrator
NJCPEGTRGW01,#N/A,#N/A,NJCPEGTRGW01.na.ad.tullib.com,10.138.48.34,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,UTC,2022-03-12T07:59:43Z,!tladmin
HK1CVAVAYAVPN01,Phase 4,TBA,HK1CVAVAYAVPN01.lnholdings.com,10.70.104.30,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T00:27:29Z,LNHOLDINGS\ptses
NJ1CVCITXVDC01,Phase 4,TBA,nj1cvcitxvdc01.LNHOLDINGS.com,10.78.100.154,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T00:19:22Z,corp.ad.tullib.com\msiy-a
NJCPUFIEIH01,Phase 3,Radny,NJCPUFIEIH01.na.cipn.com,10.144.32.21,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-30T08:13:48Z,NAEBSysAdmin
NJVMEQTSHDDMS01,#N/A,#N/A,NJVMEQTSHDDMS01,10.137.64.98,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'+01:00,2022-12-16T08:39:28Z,NA\zzzeamador
NJVMEQTSHDLQGW0,#N/A,#N/A,NJVMEQTSHDLQGW0,10.137.64.100,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.25769 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T08:40:35Z,AMERLNESA
NJ1PVMSW03,Phase 4,TBA,NJ1PVMSW03.lnholdings.com,172.18.110.89,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T01:42:15Z,LNHOLDINGS\ptses
NJCPSRFEXT04,Phase 4,TBA,NJCPSRFEXT04,10.137.48.31,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:34Z,NA.AD.TULLIB.COM\dsadmin
NJ1PVCITXVDC02,Phase 3,Emmanuel,nj1pvcitxvdc02.LNHOLDINGS.com,"fe80:0:0:0:cd15:f916:bf74:4d3d,172.18.121.167",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.2565 64-Bit,1809,GA,'-05:00,2022-05-21T16:23:49Z,mderho
NJCPAXIAPP01,Phase 4,TBA,NJCPAXIAPP01.corp.ad.tullib.com,10.138.48.65,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-11-05T13:13:52Z,CORP.AD.TULLIB.COM\NYAnalyticsSvr01
USBHBESMS,#N/A,#N/A,USBHBESMS.us.icap.com,"fe80:0:0:0:3932:2c4e:376a:f24c,10.10.48.41",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-03-12T17:10:21Z,us.icap.com\administrator
NJ1CVSCOMWEB01,#N/A,#N/A,nj1cvscomweb01.lnholdings.com,"10.78.100.194,fe80:0:0:0:b921:bc37:6432:5a54",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-11-05T05:37:50Z,LNHOLDINGS\pgtses
VA1CVSQL1N02,Phase 3,Emmanuel,VA1CVSQL1N02.lnholdings.com,"10.79.100.187,10.79.100.186,10.79.100.185,10.79.100.184,192.168.254.184,169.254.1.110,fe80:0:0:0:cc75:af25:dfbb:fcde",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-20T01:49:10Z,LNHOLDINGS.COM\ln da 1
LDN2WS8007,Phase 4,TBA,LDN2WS8007.corp.ad.tullib.com,10.91.72.191,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2022-11-05T02:12:48Z,Administrator
GTT-DR-VANNEUT1,Phase 4,TBA,GTT-DR-VANNEUT1.lnholdings.com,10.68.126.166,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3165 64-Bit,1809,GA,'-05:00,2022-07-16T19:34:06Z,LNHOLDINGS\emalabre
SNG1WS0013,Phase 4,TBA,SNG1WS0013.corp.ad.tullib.com,"10.202.34.99,10.202.34.120,10.202.34.37,10.202.34.38,10.202.34.119,169.254.2.54,10.202.34.36",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'+08:00,2022-11-04T20:27:39Z,CORP\w_frias
LDNDSSVN01,#N/A,#N/A,LDNDSSVN01.eur.ad.tullib.com,170.198.42.75,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25769,6.1,EOL/EOS,UTC,2022-03-05T09:51:03Z,EMEALPESA
LDNMBREP1,#N/A,#N/A,LDNMBREP1.eur.ad.tullib.com,192.168.45.159,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25740 64-Bit,6.1,EOL/EOS,UTC,2022-02-26T07:18:07Z,TTLAdmin
UK1CVBKPXY12,Phase 4,TBA,uk1cvbkpxy12.lnholdings.com,"10.73.254.54,fe80:0:0:0:691c:967e:3724:d7c4",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T00:26:17Z,LNHOLDINGS\athomas_adm
SG1SSNGMBS01,Phase 4,TBA,SG1SSNGMBS01.apac.ad.tullib.com,10.202.34.51,Windows / Server,Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+08:00,2022-08-13T05:20:41Z,APAC.AD.TULLIB.COM\mbs live user
USHSSFINQA02,#N/A,#N/A,USHSSFINQA02.us.icap.com,"fe80:0:0:0:a4e6:27e5:9c90:220f,10.137.32.202",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25740 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T08:40:54Z,amerlnesa
SYDPITSAPP01,Phase 4,TBA,SYDPITSAPP01,10.242.20.11,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+11:00,2022-08-05T19:04:34Z,SYDPITSAPP01\Administrator
NJ1CUHYPERV4N02,Phase 4,TBA,NJ1CUHYPERV4N02.LNHOLDINGS.com,"fe80:0:0:0:61bf:e0c2:ce99:ad84,fe80:0:0:0:5023:fee3:b7f8:6f35,169.254.134.85,10.78.254.143,10.78.254.142,169.254.1.56,fe80:0:0:0:10a:a6c:38b9:44f7,169.254.173.132,fe80:0:0:0:8448:316e:539:da79,169.254.111.53,192.168.254.142,fe80:0:0:0:dd31:60bd:82c5:8655",Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-11-05T05:37:31Z,LNHOLDINGS.COM\jhilaire
SNGDSAXIAPP02,Phase 4,TBA,SNGDSAXIAPP02,10.203.32.140,Windows / Server,Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+08:00,2022-11-04T19:48:07Z,APAC.AD.TULLIB.COM\tpiadmin
VA1CVSQL2N02,Phase 4,TBA,VA1CVSQL2N02.lnholdings.com,"169.254.1.196,fe80:0:0:0:20df:497c:1e60:a0fe,10.79.100.190,192.168.254.192",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-19T22:27:03Z,LNHOLDINGS.COM\ln da 1
CHIPINFFPS01,Phase 4,TBA,CHIPINFFPS01,10.177.38.16,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,UTC,2022-11-05T12:50:03Z,CORP.AD.TULLIB.COM\CORP DA 6
NJC1WS2217,Phase 4,TBA,NJC1WS2217,10.161.72.53,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2023-01-24T19:07:29Z,Administrator
NJCPSMOCSS12,Phase 4,TBA,NJCPSMOCSS12,10.137.48.47,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:39Z,NJCPSMOCSS12\AMERLESA
NJC2WS3011,Phase 4,TBA,NJC2WS3011,10.137.32.216,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-12-16T07:33:58Z,Administrator
SNGPINFTAV07,Phase 4,TBA,SNGPINFTAV07,10.202.40.61,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+08:00,2022-11-04T19:48:36Z,CORP.AD.TULLIB.COM\astenhouse-a
UK1PVFITOMS01,Phase 4,TBA,uk1pvfitoms01.lnholdings.com,"fe80:0:0:0:f16d:719d:74cc:3c91,172.23.104.86",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,UTC,2022-11-05T01:42:11Z,corp.ad.tullib.com\lsingh
NJCPTFTAPP04,Phase 4,TBA,NJCPTFTAPP04,10.137.32.70,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:05Z,CORP.AD.TULLIB.COM\NJCPTFTAPP04admin
EC2AMAZ-7VE5A8P,#N/A,#N/A,EC2AMAZ-7VE5A8P,10.16.65.6,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5501 64-Bit,1607,EOL,UTC,2022-12-06T15:55:41Z,Administrator
EC2AMAZ-J2J2E7Q,#N/A,#N/A,EC2AMAZ-J2J2E7Q,10.16.75.242,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5501 64-Bit,1607,EOL,UTC,2023-01-12T10:34:38Z,Administrator
NY1CVWDS01,#N/A,#N/A,ny1cvwds01.lnholdings.com,"fe80:0:0:0:a8ba:3ad9:785b:752a,10.1.159.19",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3165 64-Bit,1809,GA,'-08:00,2023-01-21T06:15:52Z,LNHOLDINGS\jhilaire
NJC1WS1751,#N/A,#N/A,NJC1WS1751,10.161.72.66,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2023-01-10T09:29:47Z,Administrator
NJVMEQTQALQGW01,#N/A,#N/A,NJVMEQTQALQGW01.na.ad.tullib.com,10.137.64.95,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-12-16T09:33:13Z,AMERLNESA
USHSDMPRODS1,#N/A,#N/A,USHSDMPRODS1,10.1.59.200,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T04:16:24Z,US\c_salvesen-a
UK1PVUASSQL02,Phase 4,TBA,uk1pvuassql02,"172.23.121.42,fe80:0:0:0:106b:8d1a:1a75:dda8",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,UTC,2023-01-21T07:28:11Z,otas
NJCPTLRSRC01,Phase 4,TBA,NJCPTLRSRC01.na.ad.tullib.com,10.138.48.17,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2023-01-09T14:06:39Z,NA.AD.TULLIB.COM\NJCPTLRSRC01Admin
LDN1WS8890,Phase 2,Ian,LDN1WS8890,10.90.68.131,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2023-01-14T04:51:05Z,Administrator
USHSSNDC01,#N/A,#N/A,USHSSNDC01,10.1.43.186,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24564 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T04:05:24Z,US\US PMS
LDN1WS9749,Phase 2,Ian,LDN1WS9749,10.90.69.94,Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,UTC,2023-01-14T04:52:26Z,CORP\mofalsa-a
NJTAILORSRC01,#N/A,#N/A,NJTAILORSRC01.na.ad.tullib.com,10.138.48.70,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-06-11T13:09:21Z,NA.AD.TULLIB.COM\NJTAILORSRC01admin
SYDINF01,#N/A,#N/A,SYDINF01,"10.242.32.66,10.242.32.65",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'+11:00,2022-05-21T03:48:13Z,APAC\sydbackup
NJCPEGTSQL01,#N/A,#N/A,NJCPEGTSQL01.na.ad.tullib.com,"10.138.48.33,198.18.5.141,198.18.5.142",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-11-27T13:30:26Z,!tladmin
NJCPEQTGWY01,#N/A,#N/A,NJCPEQTGWY01.na.ad.tullib.com,10.144.32.77,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25740 64-Bit,6.1,EOL/EOS,'-05:00,2022-09-16T21:35:21Z,amerlpesa
SNGPOTLSQL01,Phase 4,TBA,SNGPOTLSQL01.corp.ad.tullib.com,"10.202.32.57,10.202.32.58,10.202.32.59,169.254.1.167,10.202.32.52",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-11-04T17:49:46Z,Administrator
LDN1WS9715,Phase 2,Ian,LDN1WS9715,10.90.70.250,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2023-01-14T04:50:58Z,Administrator
SYDPVRCMED01,#N/A,#N/A,SYDPVRCMED01,10.242.13.15,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20144 64-Bit,6.3,EOL,'+11:00,2022-01-14T20:45:47Z,SYDPVRCMED01\SRVCREDADMIN
NJCPTLRAPP01,Phase 4,TBA,NJCPTLRAPP01.na.ad.tullib.com,10.138.48.50,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-11-05T13:22:36Z,NA.AD.TULLIB.COM\NJCPTLRAPP01admin
NJCPTFTAPP01,#N/A,#N/A,NJCPTFTAPP01,10.138.32.56,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20144 64-Bit,6.3,EOL,UTC,2022-11-08T13:01:59Z,NA.AD.TULLIB.COM\dsadmin
SYDPVRCLOG03,#N/A,#N/A,SYDPVRCLOG03,10.242.13.12,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20144 64-Bit,6.3,EOL,'+11:00,2022-01-17T01:05:02Z,SYDPVRCLOG03\SRVCREDADMIN
NJCPTLRAPP101,Phase 4,TBA,NJCPTLRAPP101.na.ad.tullib.com,10.138.48.16,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T13:24:54Z,NA.AD.TULLIB.COM\NJCPTLRAPP101admin
HKGPODTAPP01,Phase 4,TBA,HKGPODTAPP01,10.236.32.34,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,UTC,2022-11-04T18:06:06Z,APAC.AD.TULLIB.COM\odetadmin
USHSTMSPROD01,Phase 4,TBA,USHSTMSPROD01.us.icap.com,"10.1.24.63,fe80:0:0:0:406b:726e:7d0c:c3d7",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3165 64-Bit,1809,GA,'-05:00,2023-01-22T10:00:27Z,US\administrator
